name,email
Zada Tindel  ,zada@civinomics.com
Raphael Schiro  ,raphael@remi.com
Kira Withers  ,kira@aol.com
Miguelina Casselman  ,miguelina@yahoo.com
Paula Ruggiero  ,paula@standardandpoors.com
Fidela Ulibarri  ,fidela@yahoo.com
Dolores Flannery  ,dolores@cloudmade.com
Karin Casias  ,karin@5psolutions.com
Tommie Connery  ,tommie@aol.com
Elma Bad  ,elma@yahoo.com
Luann Dejohn  ,luann@karmadata.com
Lilla Corp  ,lilla@gmail.com
Billye Peltier  ,billye@qadoenergy.com
Lupe Dodgen  ,lupe@gmail.com
Antony Holding  ,antony@transunion.com
Carmella Ensor  ,carmella@aol.com
Marcellus Kenny  ,marcellus@predilytics.com
Gerald Scogin  ,gerald@personaldemocracy.com
Drema Roundtree  ,drema@deloitte.com
Rose Isakson  ,rose@citeline.com
Vivian Mazzeo  ,vivian@pave.com
Wilfred Weibel  ,wilfred@archimedesmodel.com
Chanda Kellems  ,chanda@equilar.com
Vickie Nunn  ,vickie@aol.com
Wen Hiemstra  ,wen@tendrilinc.com
Alexis Guerrero  ,alexis@yahoo.com
Sophia Mahaney  ,sophia@simpletuition.com
Armando Sienkiewicz  ,armando@realtor.com
Jenni Faucher  ,jenni@aws.amazon.com
Bradly Burell  ,bradly@gmail.com
Zulema Wooten  ,zulema@aol.com
Bethanie Tavernier  ,bethanie@karmadata.com
Alfredo Charlie  ,alfredo@yahoo.com
Misha Leverette  ,misha@loseit.com
Lakesha Burts  ,lakesha@aol.com
Loura Manly  ,loura@conndot.com
Marylouise Skowronski  ,marylouise@yahoo.com
Clorinda Corrigan  ,clorinda@beinformed.com
Lawerence Fikes  ,lawerence@scaleunlimited.com
Mao Putnam  ,mao@bing.com
Pete Pipes  ,pete@gmail.com
Max Fujiwara  ,max@aol.com
Seema Burton  ,seema@gmail.com
Roni Bryner  ,roni@Zonerapp.com
Elizebeth Bulter  ,elizebeth@yahoo.com
Gisela Tack  ,gisela@civinomics.com
Nga Angell  ,nga@berkshirehathaway.com
Doreen Orth  ,doreen@zurichna.com
Donte Casterline  ,donte@gmail.com
Ha Loeb  ,ha@gmail.com
